transaction_id,transaction_type,cost_centre,supplier,category,amount_gbp,invoice_date,due_date,forecast_month,status,risk_level,variance_driver,finance_owner,commentary
FIN-0017,Invoice,Corporate IT,Microsoft,Cloud services,46200,2026-07-01,2026-08-15,2026-08,Approved,Medium,Usage above run rate,Freya Williams,Azure and M365 services trending above previous quarter baseline
FIN-0018,Invoice,Corporate IT,ServiceNow,Platform subscription,28600,2026-07-10,2026-08-24,2026-08,Pending,Low,Annual renewal phasing,Freya Williams,Workflow platform renewal due in August
FIN-0019,Accrual,Corporate IT,Computacenter,Device refresh,33500,2026-07-17,2026-08-31,2026-08,Review,Medium,Device lifecycle project,Freya Williams,Laptop refresh accrual for engineering users
FIN-0020,Forecast,Corporate IT,Renishaw Internal,Licence rationalisation,-14500,2026-07-22,2026-08-31,2026-08,Approved,Low,Licence consolidation saving,Freya Williams,Expected saving from retiring duplicate analytics licences
FIN-0021,Invoice,Facilities and Energy,National Grid,Energy,73900,2026-07-03,2026-08-17,2026-08,Approved,High,Energy price volatility,James Evans,Electricity cost above plan after production ramp-up
FIN-0022,Invoice,Facilities and Energy,CBRE,Facilities maintenance,41200,2026-07-11,2026-08-25,2026-08,Pending,Medium,Reactive maintenance,James Evans,Reactive work on cleanroom environmental controls
FIN-0023,Accrual,Facilities and Energy,Schneider Electric,Energy monitoring,16400,2026-07-19,2026-09-02,2026-09,Review,Low,Monitoring project milestone,James Evans,Energy metering project accrual pending milestone sign-off
FIN-0024,Forecast,Facilities and Energy,Renishaw Internal,Energy efficiency saving,-9800,2026-07-24,2026-08-31,2026-08,Approved,Low,Efficiency benefit,James Evans,Expected saving from adjusted weekend plant operating profile
FIN-0025,Invoice,Precision Machining,Bosch Rexroth,Hydraulics,23850,2026-08-01,2026-09-15,2026-09,Pending,Medium,Line repair spares,Amelia Stone,Hydraulic component order linked to older machining centre
FIN-0026,Invoice,Additive Manufacturing,Renishaw Internal,Quality testing,12600,2026-08-03,2026-09-17,2026-09,Approved,Low,Internal testing recharge,Noah Patel,Metallurgical testing for new additive process parameter set
FIN-0027,Invoice,Global Supply Chain,UPS,Freight,21750,2026-08-04,2026-09-18,2026-09,Pending,Medium,Customer delivery protection,Oliver Chen,Premium outbound shipment to protect promised delivery window
FIN-0028,Invoice,Corporate IT,CrowdStrike,Security software,36800,2026-08-05,2026-09-19,2026-09,Review,Medium,Security renewal,Freya Williams,Endpoint security renewal awaiting final licence count
FIN-0029,Invoice,Facilities and Energy,Veolia,Waste services,15420,2026-08-06,2026-09-20,2026-09,Approved,Low,Standard facilities service,James Evans,Monthly waste and recycling service
FIN-0030,Accrual,Metrology Services,Field Service Partners,Contract labour,19400,2026-08-07,2026-09-21,2026-09,Review,High,Service backlog support,Grace Hughes,Contractor support remains above plan for service backlog
